DATA INICIAL,DATA FINAL,REGIÃO,ESTADO,PRODUTO,NÚMERO DE POSTOS PESQUISADOS,UNIDADE DE MEDIDA,PREÇO MÉDIO REVENDA,DESVIO PADRÃO REVENDA,PREÇO MÍNIMO REVENDA,PREÇO MÁXIMO REVENDA,MARGEM MÉDIA REVENDA,COEF DE VARIAÇÃO REVENDA,PREÇO MÉDIO DISTRIBUIÇÃO,DESVIO PADRÃO DISTRIBUIÇÃO,PREÇO MÍNIMO DISTRIBUIÇÃO,PREÇO MÁXIMO DISTRIBUIÇÃO,COEF DE VARIAÇÃO DISTRIBUIÇÃO,MÊS,ANO
2004-05-09,2004-05-15,SUDESTE,RIO DE JANEIRO,GASOLINA COMUM,1071,R$/l,2.045,0.109,1.7,2.599,0.254,0.053,1.791,0.047,1.6363,1.9594,0.026,5,2004
2004-05-16,2004-05-22,SUDESTE,RIO DE JANEIRO,GASOLINA COMUM,1055,R$/l,2.04,0.113,1.7,2.599,0.252,0.055,1.788,0.049,1.5943,1.99651,0.027,5,2004
2004-05-23,2004-05-29,SUDESTE,RIO DE JANEIRO,GASOLINA COMUM,1091,R$/l,2.042,0.108,1.7,2.599,0.252,0.053,1.79,0.046,1.63596,2.2137,0.026,5,2004
2004-05-30,2004-06-05,SUDESTE,RIO DE JANEIRO,GASOLINA COMUM,1055,R$/l,2.053,0.111,1.73,2.599,0.251,0.054,1.802,0.055,1.64,2.21425,0.031,5,2004
2004-06-06,2004-06-12,SUDESTE,RIO DE JANEIRO,GASOLINA COMUM,1091,R$/l,2.063,0.107,1.76,2.599,0.247,0.052,1.816,0.054,1.64,2.32425,0.03,6,2004
2004-06-13,2004-06-19,SUDESTE,RIO DE JANEIRO,GASOLINA COMUM,1061,R$/l,2.085,0.118,1.73,2.599,0.269,0.057,1.816,0.049,1.65755,2.123,0.027,6,2004
2004-06-20,2004-06-26,SUDESTE,RIO DE JANEIRO,GASOLINA COMUM,1090,R$/l,2.152,0.111,1.76,2.599,0.275,0.052,1.877,0.059,1.65,2.1379,0.031,6,2004
2004-06-20,2004-06-26,SUDESTE,SAO PAULO,GASOLINA COMUM,4140,R$/l,2.036,0.093,1.69,2.399,0.263,0.046,1.773,0.083,1.434,2.7345,0.047,6,2004
2004-06-27,2004-07-03,SUDESTE,RIO DE JANEIRO,GASOLINA COMUM,1066,R$/l,2.151,0.116999999999999,1.79,2.599,0.273,0.054,1.878,0.055,1.55,2.259,0.029,6,2004
2004-06-27,2004-07-03,SUDESTE,SAO PAULO,GASOLINA COMUM,4122,R$/l,2.033,0.092,1.68,2.399,0.25,0.045,1.783,0.064,1.433,2.1589,0.036,6,2004
2004-07-04,2004-07-10,SUDESTE,RIO DE JANEIRO,GASOLINA COMUM,1096,R$/l,2.152,0.111,1.79,2.599,0.258,0.052,1.894,0.052,1.64,2.259,0.027,7,2004
2004-07-04,2004-07-10,SUDESTE,SAO PAULO,GASOLINA COMUM,4137,R$/l,2.032,0.088,1.739,2.499,0.255,0.043,1.777,0.059,1.54,2.473,0.033,7,2004
2004-07-11,2004-07-17,SUDESTE,RIO DE JANEIRO,GASOLINA COMUM,1066,R$/l,2.15,0.111999999999999,1.79,2.599,0.253,0.052,1.897,0.052,1.55,2.1032,0.027,7,2004
2004-07-11,2004-07-17,SUDESTE,SAO PAULO,GASOLINA COMUM,4147,R$/l,2.03,0.089,1.659,2.399,0.254,0.044,1.776,0.055,1.477,2.114,0.031,7,2004
2004-07-18,2004-07-24,SUDESTE,RIO DE JANEIRO,GASOLINA COMUM,1093,R$/l,2.154,0.106,1.8,2.599,0.255,0.049,1.899,0.045,1.6489,2.11466,0.024,7,2004
2004-07-18,2004-07-24,SUDESTE,SAO PAULO,GASOLINA COMUM,4135,R$/l,2.03,0.086,1.739,2.499,0.254,0.042,1.776,0.053,1.54,2.114,0.03,7,2004
2004-07-25,2004-07-31,SUDESTE,RIO DE JANEIRO,GASOLINA COMUM,1066,R$/l,2.157,0.107,1.82,2.599,0.253,0.05,1.904,0.048,1.72,2.1835,0.025,7,2004
2004-07-25,2004-07-31,SUDESTE,SAO PAULO,GASOLINA COMUM,4144,R$/l,2.028,0.088,1.59,2.399,0.25,0.043,1.778,0.054,1.477,2.114,0.03,7,2004
2004-08-01,2004-08-07,SUDESTE,RIO DE JANEIRO,GASOLINA COMUM,1094,R$/l,2.162,0.104,1.82,2.599,0.249,0.048,1.913,0.044,1.66,2.1835,0.023,8,2004
2004-08-01,2004-08-07,SUDESTE,SAO PAULO,GASOLINA COMUM,4131,R$/l,2.03,0.087,1.699,2.449,0.246,0.043,1.784,0.054,1.54,2.1291,0.03,8,2004
2004-08-08,2004-08-14,SUDESTE,RIO DE JANEIRO,GASOLINA COMUM,1064,R$/l,2.171,0.108,1.809,2.59,0.245,0.05,1.926,0.048,1.74,2.1835,0.025,8,2004
2004-08-08,2004-08-14,SUDESTE,SAO PAULO,GASOLINA COMUM,4157,R$/l,2.034,0.09,1.74,2.399,0.245,0.044,1.789,0.057,1.477,2.1291,0.032,8,2004
2004-08-15,2004-08-21,SUDESTE,RIO DE JANEIRO,GASOLINA COMUM,1095,R$/l,2.178,0.105,1.82,2.599,0.245,0.048,1.933,0.042,1.7696,2.13808,0.022,8,2004
2004-08-15,2004-08-21,SUDESTE,SAO PAULO,GASOLINA COMUM,4143,R$/l,2.036,0.089,1.72,2.499,0.239,0.044,1.797,0.056,1.56,2.159,0.031,8,2004
2004-08-22,2004-08-28,SUDESTE,RIO DE JANEIRO,GASOLINA COMUM,1072,R$/l,2.178,0.108,1.809,2.599,0.243,0.05,1.935,0.046,1.76,2.1912,0.024,8,2004
2004-08-22,2004-08-28,SUDESTE,SAO PAULO,GASOLINA COMUM,4157,R$/l,2.035,0.091,1.74,2.399,0.235,0.045,1.8,0.054,1.477,2.1229,0.03,8,2004
2004-08-29,2004-09-04,SUDESTE,RIO DE JANEIRO,GASOLINA COMUM,1101,R$/l,2.181,0.102,1.85,2.599,0.242,0.047,1.939,0.041,1.7696,2.1912,0.021,8,2004
2004-08-29,2004-09-04,SUDESTE,SAO PAULO,GASOLINA COMUM,4134,R$/l,2.034,0.09,1.69,2.499,0.234,0.044,1.8,0.055,1.55,2.127,0.031,8,2004
2004-09-05,2004-09-11,SUDESTE,RIO DE JANEIRO,GASOLINA COMUM,1075,R$/l,2.179,0.108,1.829,2.599,0.239,0.05,1.94,0.044,1.77,2.269,0.023,9,2004
2004-09-05,2004-09-11,SUDESTE,SAO PAULO,GASOLINA COMUM,4152,R$/l,2.032,0.091,1.74,2.399,0.231,0.045,1.801,0.055,1.477,2.127,0.031,9,2004
2004-09-12,2004-09-18,SUDESTE,RIO DE JANEIRO,GASOLINA COMUM,1099,R$/l,2.181,0.103,1.859,2.599,0.242,0.047,1.939,0.041,1.7755,2.24,0.021,9,2004
2004-09-12,2004-09-18,SUDESTE,SAO PAULO,GASOLINA COMUM,4142,R$/l,2.032,0.09,1.69,2.499,0.233,0.044,1.799,0.054,1.5,2.1375,0.03,9,2004
